l2_regularization,N,query_type,metric,n_seeds,seeds,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,baseline_l2_regularization,mean_paired_difference_from_baseline,paired_difference_sample_sd,paired_difference_standard_error,paired_difference_ci95_low,paired_difference_ci95_high,paired_training_and_query_clouds_verified,source_csv
1e-06,300,off_support,gradient_linf,3,"[123,124,125]",0.004776208130934099,0.003913796974678056,0.0022596317368839187,-0.0049462025298775275,0.014498618791745726,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,Q_relative_l1,3,"[123,124,125]",0.020625306183795305,0.018996663400172722,0.010967728727794434,-0.026565021765416207,0.06781563413300681,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,Q_relative_l2,3,"[123,124,125]",0.025561813651377652,0.024609460322447055,0.014208278541776222,-0.03557147480067893,0.08669510210343423,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,Q_relative_linf,3,"[123,124,125]",0.06432569894759492,0.07023073252730322,0.04054773233002312,-0.11013711224516758,0.2387885101403574,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,Q_mae,3,"[123,124,125]",1.8525335217721427e-06,1.7280641335565039e-06,9.97698292685785e-07,-2.4402157606655302e-06,6.145282804209816e-06,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,Q_rmse,3,"[123,124,125]",4.0571043852667195e-06,3.8919917775945675e-06,2.247042500478034e-06,-5.611139163158338e-06,1.3725347933691778e-05,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,off_support,Q_linf,3,"[123,124,125]",6.113055573230592e-05,6.515316050037737e-05,3.761619475344777e-05,-0.00010071886730439782,0.00022297997876900968,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,density_relative_l1,3,"[123,124,125]",0.0010037125122987108,0.0014334442484944833,0.0008275994227366108,-0.0025571604030339193,0.004564585427631341,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,density_relative_l2,3,"[123,124,125]",0.0012793641869992749,0.0018162977184608055,0.0010486399766818492,-0.0032325694711393825,0.005791297845137933,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
1e-06,300,on_support,density_relative_linf,3,"[123,124,125]",0.0020904778339437277,0.003126623036084632,0.0018051566515379473,-0.005676484360325169,0.009857440028212625,"two-sided Student t, df=n-1",1e-06,0.0,0.0,0.0,0.0,0.0,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
