l2_regularization,baseline_l2,N,seed,query_type,metric,value,baseline_value,paired_difference,paired_percent_change,paired_training_cloud,paired_query_cloud,source_csv
0.01,1e-06,1200,123,on_support,Q_mae,2.2104965101948312e-06,2.2362799993837145e-06,-2.5783489188883226e-08,-1.1529633675563333,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,Q_rmse,3.775667965111755e-06,3.7657566280917826e-06,9.911337019972236e-09,0.2631964303278568,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,on_support,Q_linf,2.376403049354032e-05,2.2552668687845123e-05,1.2113618056951983e-06,5.371257044839522,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,density_relative_l1,0.009823010397274805,0.009827372923657943,-4.362526383137541e-06,-0.04439158274573468,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,density_relative_l2,0.010643461132854274,0.010625449790709568,1.8011342144706732e-05,0.1695113383384021,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,density_relative_linf,0.012110770085217984,0.012803674981987577,-0.0006929048967695937,-5.411765744947321,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,density_mae,9.74009305770952e-05,9.744418759426202e-05,-4.325701716682601e-08,-0.0443915827457452,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,density_rmse,0.00017140884825919892,0.0001711187825207995,2.900657383994099e-07,0.16951133833841553,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,density_linf,0.0010601796182274394,0.001120836673373895,-6.065705514645553e-05,-5.411765744947321,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,123,off_support,gradient_relative_l1,0.014702734411694717,0.014777736204865183,-7.50017931704667e-05,-0.507532359021095,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
