method,P0,observable,n_seeds,mean_value1,mean_value2,mean_value3,mean_D12,sample_sd_D12,mean_D23,sample_sd_D23,seed_11_D12_over_D23,seed_29_D12_over_D23,seed_47_D12_over_D23,seed_73_D12_over_D23,n_paired_contractions,mean_paired_difference_D12_minus_D23,paired_difference_sample_sd,paired_difference_standard_error,paired_difference_ci95_low,paired_difference_ci95_high,confidence_interval_method,all_cases_physically_admissible,final_verdict,interpretation,source_csv
MIDPOINT,100.0,P_mean,4,98.80307168215515,99.3733824174396,99.21270369657778,18.245194861312143,17.307048053722387,17.987144476590917,16.558574559739807,1.0072759067014738,0.43504784220378906,1.0201442373169918,1.9819497249017815,3,0.25805038472122366,8.224476974976685,4.112238487488343,-12.828927796233799,13.345028565676245,"two-sided paired Student t on D12-D23, df=3; descriptive",False,REJECT_PHYSICAL_INADMISSIBILITY,one or more levels physically inadmissible; temporal order not interpreted,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P_var,4,-5.959258239530497e+45,-9.500611711710192e+44,-4.785394988795557e+47,3.063208154655863e+45,5.90897265105923e+45,2.380232603811092e+47,4.759065046435703e+47,392970.88704464445,0.01252633929210928,1.5674336009529817,3.352248788741076,3,-2.3496005222645334e+47,4.69999563505976e+47,2.34999781752988e+47,-9.828342394088582e+47,5.129141349559515e+47,"two-sided paired Student t on D12-D23, df=3; descriptive",False,REJECT_PHYSICAL_INADMISSIBILITY,one or more levels physically inadmissible; temporal order not interpreted,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,R_mean,4,12.809384993124308,12.520458514458923,12.615872910358236,14.452556189701472,15.51368132417146,12.427507300815984,14.909609592832105,1.0216025863684142,0.8335530474370464,0.8620452565926091,1.8623638123880026,2,2.0250488888854887,4.196865697751546,2.098432848875773,-4.6531009779063455,8.703198755677324,"two-sided paired Student t on D12-D23, df=3; descriptive",False,REJECT_PHYSICAL_INADMISSIBILITY,one or more levels physically inadmissible; temporal order not interpreted,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,R_var,4,-1.0198258814001596e+44,-1.2706495152096435e+43,-6.883755666839636e+45,2.9536927139053963e+43,5.799611166070264e+43,2.0130423884093858e+45,4.025398334212558e+45,392960.69340348436,0.014472921292351637,1.577336054548009,3.36108555036855,3,-1.983505461270332e+45,3.967407257401185e+45,1.9837036287005924e+45,-8.296535745207517e+45,4.3295248226668527e+45,"two-sided paired Student t on D12-D23, df=3; descriptive",False,REJECT_PHYSICAL_INADMISSIBILITY,one or more levels physically inadmissible; temporal order not interpreted,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,energy,4,2.500733889554402,2.5287403988641404,2.5199486715948627,0.704143681010788,0.5453411865774686,0.721840984859577,0.5309431515209954,1.007732892249125,0.4835546599129439,0.981093623893749,1.7649163923721418,2,-0.017697303848789037,0.3438851623676352,0.1719425811838176,-0.5648953360582689,0.5295007283606907,"two-sided paired Student t on D12-D23, df=3; descriptive",False,REJECT_PHYSICAL_INADMISSIBILITY,one or more levels physically inadmissible; temporal order not interpreted,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,trace,4,1.0000000000001918,1.0000000000003535,1.0000000000008713,7.613066355184553e-13,7.934991640179628e-13,1.4371124597679555e-12,1.3474190618654577e-12,0.5527738578907327,0.36499964751771335,0.3249948901985732,0.6447377599039793,0,-6.758058242495e-13,5.694434258792656e-13,2.847217129396328e-13,-1.581917387628441e-12,2.303057391294409e-13,"two-sided paired Student t on D12-D23, df=3; descriptive",False,REJECT_NUMERICAL_NOISE,one or more seeds are numerical-floor limited; temporal order not interpreted,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
PBME,20.0,P0,4,0.9643420785497491,0.9643410256184253,0.9643407623855523,7.016855560031077e-07,8.749820700572776e-08,1.7542157227738919e-07,2.1874537946154785e-08,3.9999945624833617,3.9999994365915077,3.999992268396998,3.9999966759853276,4,5.262639837257184e-07,6.562366906015276e-08,3.281183453007638e-08,4.218420821558782e-07,6.306858852955586e-07,"two-sided paired Student t on D12-D23, df=3; descriptive",True,PAIRED_CONTRACTION_ALL_SEEDS,paired differences contract in all four seeds; interval is descriptive,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
PBME,20.0,P1,4,0.03565792145088194,0.03565897438274161,0.03565923761675568,7.016857783696416e-07,8.749820885836922e-08,1.7542202462977694e-07,2.1874541757262855e-08,3.999983638300175,3.999991158949112,3.999983663364795,3.999987847572368,4,5.262637537398647e-07,6.562366710171225e-08,3.2811833550856124e-08,4.218418552863404e-07,6.30685652193389e-07,"two-sided paired Student t on D12-D23, df=3; descriptive",True,PAIRED_CONTRACTION_ALL_SEEDS,paired differences contract in all four seeds; interval is descriptive,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
PBME,20.0,P_mean,4,19.785034368357564,19.785028965091662,19.785027614269023,3.497411847017762e-06,4.204614427633061e-07,8.743568708501e-07,1.0511529522812684e-07,3.999978103812902,3.9999868282035775,3.9999792600361594,3.9999832974976868,4,2.6230549761676614e-06,3.153461475382196e-07,1.576730737691098e-07,2.121268885108345e-06,3.124841067226978e-06,"two-sided paired Student t on D12-D23, df=3; descriptive",True,PAIRED_CONTRACTION_ALL_SEEDS,paired differences contract in all four seeds; interval is descriptive,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
PBME,20.0,P_var,4,1.6609394060798905,1.6609426547343276,1.6609434669736487,2.995776109565517e-06,3.9445921381926737e-07,7.489676340914948e-07,9.861520640723168e-08,3.9999110193905163,3.999866550362131,3.999845228603008,3.999866824502665,4,2.2468084754740223e-06,2.9584400754947547e-07,1.4792200377473774e-07,1.7760546410908633e-06,2.7175623098571813e-06,"two-sided paired Student t on D12-D23, df=3; descriptive",True,PAIRED_CONTRACTION_ALL_SEEDS,paired differences contract in all four seeds; interval is descriptive,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
