method,P0,seed,observable,dt1,dt2,dt3,value1,value2,value3,D12,D23,D12_over_D23,paired_difference_D12_minus_D23,paired_contraction,raw_observable_seed_spread,pooled_raw_observable_seed_spread,raw_seed_spread_role,roundoff_threshold,physically_admissible_case,physical_admissibility_reason,p_observed,verdict,reason,alignment,run1_manifest,run2_manifest,run3_manifest
PBME,20.0,29,trace,0.5,0.25,0.125,1.0000000000006293,1.0000000000011664,1.0000000000022993,2.9148417596391913e-13,5.902365567593514e-13,0.4938429730010128,-2.987523807954322e-13,False,8.194462601972213e-15,1.0002191001020395e-14,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,2.0000000000011495e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",nan,REJECT_NUMERICAL_NOISE,roundoff- or saturation-limited; order not interpreted,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.125\run_manifest.json
PBME,20.0,29,energy,0.5,0.25,0.125,0.1000009336106225,0.10000093360925713,0.10000093360890346,5.058662170142195e-09,1.2646729102725524e-09,3.9999766967824053,3.793989259869643e-09,True,0.00010684813757130083,0.00011574091375759385,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,1.100000933419797e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999915951164022,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.125\run_manifest.json
PBME,20.0,29,R_mean,0.5,0.25,0.125,15.313216761157413,15.313212686506196,15.313211667840017,1.5941952273989244e-06,3.985501222954092e-07,3.999986797688878,1.1956451051035151e-06,True,0.031046404566115467,0.03259735145311624,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,9.82925141474814e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999952382649457,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.125\run_manifest.json
PBME,20.0,29,P_mean,0.5,0.25,0.125,19.765143120384337,19.76513718950518,19.765135706780413,3.818329459878599e-06,9.545855083711458e-07,3.9999868282035775,2.8637439515074533e-06,True,0.03912340703680971,0.04963382106331289,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,2.1233153013687414e-11,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999952492708335,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.125\run_manifest.json
PBME,20.0,29,R_var,0.5,0.25,0.125,2.483692065101593,2.4836943469281607,2.48369491741812,6.493604867867246e-07,1.6234969230205556e-07,3.999764197757601,4.87010794484669e-07,True,0.11112550505371031,0.10526328379587503,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,2.4387776378216526e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999149498116622,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.125\run_manifest.json
PBME,20.0,29,P_var,0.5,0.25,0.125,1.8108267928751616,1.8108311870126386,1.8108322856210748,3.4215096730635084e-06,8.554059566696643e-07,3.999866550362131,2.5661037163938443e-06,True,0.14786309631247582,0.12399573105467178,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,2.86561266508803e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999518674143955,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed29\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260723_194254\step7_dt_P020\seed29_dt0.125\run_manifest.json
PBME,20.0,47,P0,0.5,0.25,0.125,0.9749686757746169,0.9749675534932823,0.9749672729226371,7.489555180423014e-07,1.8723924142544562e-07,3.999992268396998,5.617162766168558e-07,True,0.011976564000325993,0.010951432807070687,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,1.9230314765370613e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999972114109779,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\dynamics\timestep\P020\seed47_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed47\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\dynamics\timestep\P020\seed47_dt0.125\run_manifest.json
PBME,20.0,47,P1,0.5,0.25,0.125,0.02503132422601684,0.02503244650788789,0.025032727079683688,7.489557405987885e-07,1.8723969986636528e-07,3.999983663364795,5.617160407324232e-07,True,0.011976564000319118,0.01095143280706688,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,1.2008364496779377e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.999994107792319,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\dynamics\timestep\P020\seed47_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed47\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\dynamics\timestep\P020\seed47_dt0.125\run_manifest.json
PBME,20.0,47,trace,0.5,0.25,0.125,1.0000000000006337,1.0000000000011702,1.0000000000023208,2.899229913262953e-13,5.966727916482205e-13,0.4858994668173586,-3.0674980032192524e-13,False,1.205172293024024e-14,1.0002191001020395e-14,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,2.0000000000011555e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",nan,REJECT_NUMERICAL_NOISE,roundoff- or saturation-limited; order not interpreted,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\dynamics\timestep\P020\seed47_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed47\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\dynamics\timestep\P020\seed47_dt0.125\run_manifest.json
PBME,20.0,47,energy,0.5,0.25,0.125,0.10017998204839446,0.10017998204790926,0.10017998204777528,4.893638943029832e-09,1.2234178809612053e-09,3.999973369021741,3.6702210620686264e-09,True,0.0001604909528494412,0.00011574091375759385,descriptive cloud-to-cloud variability only; not an order or uncertainty gate,1.100179981859606e-12,True,"passed endpoint population, norm, energy and signed-central-moment checks",1.9999903948729587,COMPUTED_POSITIVE,three finite and physically admissible levels; paired finer difference contracts,linear interpolation to common coarse saved times; no extrapolation,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\dynamics\timestep\P020\seed47_dt0.5\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed47\run_manifest.json,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\dynamics\timestep\P020\seed47_dt0.125\run_manifest.json
