P0,seed,N,minimum,maximum,q0.001,q0.01,q0.05,q0.1,q0.25,q0.5,q0.75,q0.9,q0.95,q0.99,q0.999,initial_label_sha256,initial_cloud_sha256
20.0,11,1000,2.517738331065298e-06,0.0029504690655530776,3.6982745691067768e-06,3.529192389840526e-05,0.00015014002853417326,0.0003036659294808667,0.0007330436341823978,0.001456907720968775,0.0022449560962104,0.0026417247957592383,0.002786676680335777,0.002906619510748534,0.0029467484898112674,266e0b8948a6b00c6b6c6ac72ebb910aa1b55e1226e40f6c85c824df81092fdd,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f
20.0,29,1000,2.601808243769312e-06,0.0029496565160831204,3.2779474356914726e-06,3.33863319808943e-05,0.00011563391114135584,0.0002655460112931097,0.000710345984162146,0.001472204629177016,0.0022241350537542527,0.0026483405298371883,0.002799756434973214,0.002919669764270753,0.002947849470517267,6e3ec8f4a37ed6d147d2e1897e55cee5faf18d511bab60c168135d41182e2854,a18db5b9793f36cab014e8aae3cd0d6da85dc8c9c912243b6182e8c3279ed749
20.0,47,1000,1.1088159855829534e-06,0.0029495703877922583,4.885342885740101e-06,2.47907152591279e-05,0.00017914126220876797,0.00037242524008096017,0.0008116250889410397,0.0015174044717756157,0.002189701065059036,0.0026578582645465972,0.002798698935961473,0.002907885042522719,0.0029458628925545676,4ed0171e44b08cd335e11b82cfbbfc4440f6e70bd915ba29b40711b7b9b8bd0a,02831553087a7f85dd620876ad4395b11e92ed78a8807f55118b19330bbf3238
20.0,73,1000,1.0452980887365332e-05,0.002952150654594086,1.1463467504152902e-05,4.863888200696967e-05,0.0001585822430919135,0.00029234008163645734,0.0007514521501010617,0.001518716977113203,0.002194915734317792,0.0026361193495768455,0.0027763242642405476,0.0029192229741821776,0.0029497859077781785,0b9df7944114e6a6ff2dce8297bf39c5cf3d47935ae96330a7c4a0cd6f3a1e61,4e0aed88a759b7aa51d9dc12c9a2d1025867f3a7c2b3e98f80c492927c4d6889
100.0,11,1000,2.517738331065298e-06,0.0029504690655530776,3.6982745691067645e-06,3.529192389840526e-05,0.00015014002853417326,0.0003036659294808614,0.0007330436341823864,0.0014569077209687935,0.0022449560962104053,0.0026417247957592313,0.002786676680335778,0.002906619510748539,0.002946748489811269,610db94a8180e0004ca22a210635af28ab147f89a66e4a265d5378ee614eb22e,c1efe2f0a853c0fce6feabd9926ceb5229fbbe0a1a72f238b403dd261e9f786d
100.0,29,1000,2.601808243769247e-06,0.00294965651608312,3.2779474356914984e-06,3.338633198089464e-05,0.00011563391114135976,0.00026554601129311084,0.000710345984162144,0.0014722046291770008,0.002224135053754253,0.002648340529837182,0.002799756434973209,0.0029196697642707554,0.002947849470517267,7f5d58d2e92d5d0791655604234e683b92d92017c929950cd922dcb08c1aa295,dcfa10ca5ae845a33e467f8dca043bbfa1b8099927ccfd3513549ead18e02ba0
100.0,47,1000,1.1088159855829534e-06,0.002949570387792259,4.885342885739979e-06,2.4790715259127003e-05,0.0001791412622087672,0.0003724252400809511,0.0008116250889410401,0.0015174044717756112,0.0021897010650590303,0.002657858264546599,0.0027986989359614634,0.0029078850425227217,0.002945862892554565,0a590db66b6ff6988110edd05eaa0fd2b1e4933d1f62329dea20c6ff641a104e,a427d8382918f40a445d4b57262a043c4d973407083d59f075fee11997379fba
100.0,73,1000,1.0452980887365332e-05,0.0029521506545940866,1.1463467504152844e-05,4.863888200696864e-05,0.0001585822430919086,0.0002923400816364544,0.0007514521501010624,0.0015187169771132,0.002194915734317796,0.0026361193495768455,0.0027763242642405484,0.0029192229741821776,0.0029497859077781785,1d55aa8aaca437366b3690124e9137e425992ac00eed2e1dc82d5224fc2518be,f332357e0598fae6459a7f5543cfbf1f3473cf6d62237233b3ee16790f7ec39f
