method,reference,P0,seed,observable,E_RMS,E_infinity,common_t_min,common_t_max,alignment,paired_initial_cloud_sha256,production_npz,reference_npz
PBME,QCLE,20.0,11,energy,1.7011967403721668e-05,1.7029900455461933e-05,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
PBME,QCLE,20.0,11,R_mean,0.025684259107813794,0.046690088069105684,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
PBME,QCLE,20.0,11,P_mean,0.0364374725315552,0.09884808348862961,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
PBME,QCLE,20.0,11,R_var,0.1008502060896546,0.26345997516855846,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
PBME,QCLE,20.0,11,P_var,0.2836111059524773,0.7110387347204892,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
MIDPOINT,TDSE,20.0,11,P0,0.06551272085353207,0.3753819661436859,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
MIDPOINT,TDSE,20.0,11,P1,0.06551272085589513,0.37538196613873137,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
MIDPOINT,TDSE,20.0,11,trace,6.2725239275116025e-12,1.1705969527042726e-11,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
MIDPOINT,TDSE,20.0,11,energy,0.004182136007940828,0.006382996604055974,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
MIDPOINT,TDSE,20.0,11,R_mean,0.12043599795930919,0.44180320621016655,0.0,3000.0,production saved times within reference interval; linear interpolation; no extrapolation,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
