reference,P0,seed,quantity,PBME_raw_E1,PBME_raw_E2,MIDPOINT_raw_E1,MIDPOINT_raw_E2,PBME_shape_E1,PBME_shape_E2,MIDPOINT_shape_E1,MIDPOINT_shape_E2,paired_initial_cloud_sha256
QCLE,20.0,11,mapping-integrated R-P density,0.7541632365941278,0.5770251812498688,1.0691664863268906,1.1176335551307621,0.7541630726455468,0.577022952770543,1.0675707566015498,1.1146958325778424,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f
QCLE,20.0,29,mapping-integrated R-P density,0.7567613025708628,0.5829465541353909,0.852365295441447,0.7018772673897878,0.7567611420001432,0.5829442521752574,1.1396948449013358,1.0365935042736614,a18db5b9793f36cab014e8aae3cd0d6da85dc8c9c912243b6182e8c3279ed749
QCLE,20.0,47,mapping-integrated R-P density,0.737313292463151,0.5466540543872669,1.9788031178364303,2.9312156161496463,0.7373130445681764,0.5466516607271734,1.7896274004310273,2.5066951108507167,02831553087a7f85dd620876ad4395b11e92ed78a8807f55118b19330bbf3238
QCLE,20.0,73,mapping-integrated R-P density,0.736104177483804,0.5488264479277332,1.1069665062671679,1.1925369377247195,0.7361040161905393,0.5488240966048628,9.43269183862502,14.947484732205053,4e0aed88a759b7aa51d9dc12c9a2d1025867f3a7c2b3e98f80c492927c4d6889
TDSE,20.0,11,nuclear R marginal,0.2450988132466737,0.20847915670156764,0.8531063182121236,0.857754314232489,0.24509881324516664,0.2084791566981911,0.8512673085711149,0.8549057297273329,dc09cb6f76c9928c05538fe9dd912facb207d98b1dd6db399a959ee5f9924e0f
TDSE,20.0,29,nuclear R marginal,0.25442414432218285,0.20567200206464578,0.7547541559966006,0.7159306098145787,0.25442414432054217,0.205672002061107,1.400726431649343,1.2612962782206874,a18db5b9793f36cab014e8aae3cd0d6da85dc8c9c912243b6182e8c3279ed749
TDSE,20.0,47,nuclear R marginal,0.22556456291860166,0.17954719452688223,3.255473446325185,2.873213435147133,0.22556456291646398,0.17954719452403467,2.806254564973824,2.4525217563455612,02831553087a7f85dd620876ad4395b11e92ed78a8807f55118b19330bbf3238
TDSE,20.0,73,nuclear R marginal,0.20861584089711047,0.16970667997577618,1.0686774300362318,1.2311883251692006,0.20861584089414784,0.1697066799732149,12.79815283573833,12.440088520327956,4e0aed88a759b7aa51d9dc12c9a2d1025867f3a7c2b3e98f80c492927c4d6889
QCLE,100.0,11,mapping-integrated R-P density,0.28782294737987085,0.29081489141525885,1268491213622.4614,1573286132913.286,0.2878228759895703,0.2908149681906235,3.188599106208859,3.50776443617467,c1efe2f0a853c0fce6feabd9926ceb5229fbbe0a1a72f238b403dd261e9f786d
QCLE,100.0,29,mapping-integrated R-P density,0.31332807706326277,0.31193926404077493,1.4083340675789042e+21,2.2994598769628524e+21,0.3133280108348516,0.311939284490434,3.1809844063120205,4.058242937721268,dcfa10ca5ae845a33e467f8dca043bbfa1b8099927ccfd3513549ead18e02ba0
QCLE,100.0,47,mapping-integrated R-P density,0.32170605908299427,0.3186075542663958,5.474794183686358e+20,1.0751084322778715e+21,0.3217059834218272,0.3186075402958709,3.804228789694235,6.508169845920016,a427d8382918f40a445d4b57262a043c4d973407083d59f075fee11997379fba
QCLE,100.0,73,mapping-integrated R-P density,0.33445403504814714,0.3342913549637878,273218665797838.16,341127938776067.2,0.33445363145013324,0.33429123805588656,3.381936240006594,3.7982362233394253,f332357e0598fae6459a7f5543cfbf1f3473cf6d62237233b3ee16790f7ec39f
TDSE,100.0,11,nuclear R marginal,0.055128015454455497,0.05769910841978629,488228500955.05884,562216893687.1086,0.05512801545482396,0.05769910841843268,1.2620881036548532,1.1815383933254122,c1efe2f0a853c0fce6feabd9926ceb5229fbbe0a1a72f238b403dd261e9f786d
TDSE,100.0,29,nuclear R marginal,0.0519083784351602,0.04884447798872467,1.0042549723405907e+21,1.336118541469642e+21,0.051908378434977344,0.048844477987348964,2.539952857576981,2.5398860452168415,dcfa10ca5ae845a33e467f8dca043bbfa1b8099927ccfd3513549ead18e02ba0
TDSE,100.0,47,nuclear R marginal,0.06263471931440157,0.06170160540485827,2.255690232586753e+20,3.938376418840484e+20,0.0626347193146348,0.06170160540522658,2.036377029597417,2.5025553277515695,a427d8382918f40a445d4b57262a043c4d973407083d59f075fee11997379fba
TDSE,100.0,73,nuclear R marginal,0.029559264945156306,0.02732206859839501,167869323789101.34,228247213620589.6,0.029559264944633276,0.027322068597520954,2.4604241044242743,2.572270071090156,f332357e0598fae6459a7f5543cfbf1f3473cf6d62237233b3ee16790f7ec39f
