comparison_kind,reference,P0,observable,metric,n_paired_seeds,seeds,paired_differences_midpoint_minus_pbme,mean_paired_difference,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,verdict_before_scientific_gates,source_csv
density,QCLE,100.0,mapping-integrated R-P density,shape_E2,4,"[11,29,47,73]","[3.2169494679840467,3.7463036532308336,6.189562305624145,3.463944985283539]",4.154190103030641,1.3740414464366153,0.6870207232183076,1.9677835407708155,6.340596665290466,"two-sided paired Student t, df=3",MIDPOINT_ERROR_LARGER,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,QCLE,100.0,mapping-integrated R-P density,shape_Einf,4,"[11,29,47,73]","[4.907398291368544,10.660853040357377,16.26606780010842,6.953708876550563]",9.697007002096226,4.984897028724303,2.4924485143621515,1.764923436453147,17.629090567739304,"two-sided paired Student t, df=3",MIDPOINT_ERROR_LARGER,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,TDSE,20.0,nuclear R marginal,raw_E1,4,"[11,29,47,73]","[0.6080075049654499,0.5003300116744177,3.0299088834065833,0.8600615891391213]",1.249576997296393,1.19642332765149,0.598211663825745,-0.6541995020238005,3.1533534966165866,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,TDSE,20.0,nuclear R marginal,raw_E2,4,"[11,29,47,73]","[0.6492751575309215,0.5102586077499329,2.6936662406202507,1.0614816451934244]",1.2286704127736323,1.00432054030045,0.502160270150225,-0.3694276836264987,2.826768509173763,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,TDSE,20.0,nuclear R marginal,raw_Einf,4,"[11,29,47,73]","[1.023949854281009,0.5576648183469894,3.490425088368614,1.666473322970835]",1.6846282709918619,1.2868274090038214,0.6434137045019107,-0.36300129566950456,3.7322578376532283,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,TDSE,20.0,nuclear R marginal,shape_E1,4,"[11,29,47,73]","[0.6061684953259483,1.146302287328801,2.58069000205736,12.589536994844183]",4.230674444889074,5.634519404982712,2.817259702491356,-4.735103286330784,13.19645217610893,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,TDSE,20.0,nuclear R marginal,shape_E2,4,"[11,29,47,73]","[0.6464265730291419,1.0556242761595804,2.2729745618215267,12.27038184035474]",4.061351812841248,5.5161151668801365,2.7580575834400682,-4.71601835333884,12.838721979021336,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,TDSE,20.0,nuclear R marginal,shape_Einf,4,"[11,29,47,73]","[1.0181791291087827,1.2149831980063879,2.83454592272244,14.576342929035683]",4.9110127947183235,6.494744285541276,3.247372142770638,-5.423574682925133,15.24560027236178,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,TDSE,100.0,nuclear R marginal,raw_E1,4,"[11,29,47,73]","[488228500955.0037,1.0042549723405907e+21,2.255690232586753e+20,167869323789101.3]",3.0745604098920455e+20,4.765475020609802e+20,2.382737510304901e+20,-4.5083737762400095e+20,1.06574945960241e+21,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
density,TDSE,100.0,nuclear R marginal,raw_E2,4,"[11,29,47,73]","[562216893687.0509,1.336118541469642e+21,3.938376418840484e+20,228247213620589.56]",4.324891030407803e+20,6.303791314301072e+20,3.151895657150536e+20,-5.705847658332434e+20,1.4355629719148041e+21,"two-sided paired Student t, df=3",NO_RESOLVED_DIFFERENCE,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\physical_comparison\density_errors_by_seed.csv
