method,reference,P0,seed,snapshot,quantity,bandwidth_R,bandwidth_P,raw_raw_mass_reference,raw_raw_mass_estimate,raw_E1,raw_E2,raw_Einf,shape_raw_mass_reference,shape_raw_mass_estimate,shape_E1,shape_E2,shape_Einf,paired_initial_cloud_sha256,production_npz,reference_npz
MIDPOINT,TDSE,20.0,47,snap_012000,nuclear R marginal,0.39694702015194944,,1.0000000000138565,1.1735662838942127,3.255473446325185,2.873213435147133,3.6477844056205155,1.0000000000000002,1.0000000000000002,2.806254564973824,2.4525217563455612,2.991905239963659,02831553087a7f85dd620876ad4395b11e92ed78a8807f55118b19330bbf3238,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed47\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
MIDPOINT,QCLE,20.0,47,snap_012000,mapping-integrated R-P density,0.49972669080526055,0.4267061186988916,1.0000128967117135,1.173566283894213,1.9788031178364303,2.9312156161496463,4.494440192190039,1.0000000000000002,0.9999999999999999,1.7896274004310273,2.5066951108507167,3.7457170399500956,02831553087a7f85dd620876ad4395b11e92ed78a8807f55118b19330bbf3238,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed47\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
PBME,TDSE,20.0,73,snap_012000,nuclear R marginal,0.38828466953938606,,1.0000000000138565,1.0000000000011686,0.20861584089711047,0.16970667997577618,0.16527841104227906,1.0000000000000002,1.0,0.20861584089414784,0.1697066799732149,0.16527841104818256,4e0aed88a759b7aa51d9dc12c9a2d1025867f3a7c2b3e98f80c492927c4d6889,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed73\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
PBME,QCLE,20.0,73,snap_012000,mapping-integrated R-P density,0.4888214374932337,0.41458021940898043,1.0000128967117135,1.0000000000011688,0.736104177483804,0.5488264479277332,0.48631279092546964,1.0000000000000002,0.9999999999999999,0.7361040161905393,0.5488240966048628,0.4863061660502238,4e0aed88a759b7aa51d9dc12c9a2d1025867f3a7c2b3e98f80c492927c4d6889,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed73\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
MIDPOINT,TDSE,20.0,73,snap_012000,nuclear R marginal,0.3882846988530237,,1.0000000000138565,0.06211285201789783,1.0686774300362318,1.2311883251692006,1.8317517340131142,1.0000000000000002,0.9999999999999997,12.79815283573833,12.440088520327956,14.741621340083865,4e0aed88a759b7aa51d9dc12c9a2d1025867f3a7c2b3e98f80c492927c4d6889,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed73\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P020.npz
MIDPOINT,QCLE,20.0,73,snap_012000,mapping-integrated R-P density,0.4888214743969171,0.41458030946125324,1.0000128967117135,0.06211285201789779,1.1069665062671679,1.1925369377247195,1.5359536600431538,1.0000000000000002,1.0,9.43269183862502,14.947484732205053,21.532769527644756,4e0aed88a759b7aa51d9dc12c9a2d1025867f3a7c2b3e98f80c492927c4d6889,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P020\seed73\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P020.npz
PBME,TDSE,100.0,11,snap_002400,nuclear R marginal,0.2686107104041112,,1.0000000000044478,1.0000000000002254,0.055128015454455497,0.05769910841978629,0.08141140812063351,1.0,1.0,0.05512801545482396,0.05769910841843268,0.0814114081172403,c1efe2f0a853c0fce6feabd9926ceb5229fbbe0a1a72f238b403dd261e9f786d,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P0100.npz
PBME,QCLE,100.0,11,snap_002400,mapping-integrated R-P density,0.3381608492078195,0.22571936675189544,0.999999999981757,1.0000006772774475,0.28782294737987085,0.29081489141525885,0.3979505453731304,1.0,0.9999999999999999,0.2878228759895703,0.2908149681906235,0.39795095134816977,c1efe2f0a853c0fce6feabd9926ceb5229fbbe0a1a72f238b403dd261e9f786d,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed11\pbme.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P0100.npz
MIDPOINT,TDSE,100.0,11,snap_002400,nuclear R marginal,0.2686107266610165,,1.0000000000044478,-475113930690.67004,488228500955.05884,562216893687.1086,920253248379.3679,1.0,0.9999999999999999,1.2620881036548532,1.1815383933254122,1.7257744429316246,c1efe2f0a853c0fce6feabd9926ceb5229fbbe0a1a72f238b403dd261e9f786d,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_tdse\tdse_time_P0100.npz
MIDPOINT,QCLE,100.0,11,snap_002400,mapping-integrated R-P density,0.3381608696740507,0.22572005903173054,0.999999999981757,-475125370043.4129,1268491213622.4614,1573286132913.286,2656521577033.269,1.0,0.9999999999999999,3.188599106208859,3.50776443617467,5.305349242716714,c1efe2f0a853c0fce6feabd9926ceb5229fbbe0a1a72f238b403dd261e9f786d,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\reviewer_closure_20260726_174927\step9_repl_P0100\seed11\midpoint.npz,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\reference_grid_qcle\qcle_time_P0100.npz
