method,P0,observable,N,n_seeds,seeds,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,cloud_relationship,source_csv,difference_from_N2000_mean,combined_seed_sd_scale,change_exceeds_seed_variability
MIDPOINT,20.0,energy,500,3,"[11,29,47]",0.1013922379433161,0.021385817250837377,0.012347107346611102,0.048266922814568555,0.15451755307206366,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.007982103039446936,0.029785689929558736,False
MIDPOINT,20.0,R_mean,500,3,"[11,29,47]",16.922577905895263,0.9889407344880088,0.5709651992692382,14.465912932697973,19.37924287909255,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,2.437212771745326,2.453077210473011,False
MIDPOINT,20.0,P_mean,500,3,"[11,29,47]",20.469371058322224,1.9267843044521538,1.112429436845797,15.682973505283314,25.255768611361134,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,1.462051450343555,2.60363019085021,False
MIDPOINT,20.0,R_var,500,3,"[11,29,47]",-1309.6984745091968,261.6704141881399,151.07548407048344,-1959.7238184352284,-659.6731305831652,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,194253634.2529618,330939082.88655156,False
MIDPOINT,20.0,P_var,500,3,"[11,29,47]",-1943.6172139034716,571.4032233687616,329.8998048277744,-3363.0615096719193,-524.1729181350236,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,387362524.2312489,662671467.498412,False
PBME,20.0,P0,1000,3,"[11,29,47]",0.9644383962001907,0.009650981012937501,0.005571996485763434,0.9404640303108633,0.988412762089518,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.011623506258371386,0.009767741457700835,True
PBME,20.0,P1,1000,3,"[11,29,47]",0.03556160380097586,0.009650981012933827,0.005571996485761312,0.011587237911657639,0.05953596969029408,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,-0.011623506258366306,0.00976774145769708,True
PBME,20.0,trace,1000,3,"[11,29,47]",1.0000000000011664,3.6654177513682334e-15,2.1162299254448825e-15,1.0000000000011573,1.0000000000011755,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,4.884981308350689e-15,3.833084183753514e-15,True
PBME,20.0,energy,1000,3,"[11,29,47]",0.10007546873299693,9.32126858610124e-05,5.3816369273743536e-05,0.09984391558483892,0.10030702188115494,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,3.693391648006139e-05,0.00013357341280466873,False
PBME,20.0,R_mean,1000,3,"[11,29,47]",15.332761404158651,0.02360186459581858,0.013626542877772955,15.27413112224928,15.391391686068022,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.04748199616942017,0.0354126343888278,True
PBME,20.0,P_mean,1000,3,"[11,29,47]",19.78592229361655,0.05831731717600461,0.033669518769983045,19.641054046773327,19.930790540459775,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.06242469934823447,0.05974836870280776,True
